run,idx,key,phase,action_to_base_rgb_ms,action_to_next_ready_ms,denoise_ms,fwd1_ms,fwd2_ms,fwd3_ms,clean_kv_ms,action_prepare_ms,tae_first_rgb_ms,global_end_index,local_end_index,queue_wait_ms
r2a-ex03-67,1,w,,653.53,870.79,615.79,207.51,201.8,206.48,198.28,0.17400493379682302,20.226147025823593,2016,2016,0.18
r2a-ex03-67,2,w,,671.15,883.75,643.92,214.37,218.16,211.38,193.67,0.04117900971323252,20.155798993073404,3024,3024,0.19
r2a-ex03-67,3,w,,691.03,931.82,660.57,214.33,223.6,222.64,220.95,0.16671500634402037,20.40438202675432,4032,4032,0.09
r2a-ex03-67,4,w,,742.69,992.58,711.3,238.74,236.33,236.23,229.91,2.543095964938402,21.10611100215465,5040,5040,0.1
r2a-ex03-67,5,w,,780.51,1044.25,747.76,253.94,248.68,245.14,242.89,0.20516396034508944,20.91684693004936,6048,6048,0.1
r2a-ex03-67,6,w,,799.3,1072.09,769.86,253.41,258.44,258.0,251.87,0.04002894274890423,21.181779098697007,7056,7056,0.08
r2a-ex03-67,7,w,,839.36,1123.04,806.65,269.74,269.11,267.8,262.31,0.22522301878780127,21.607136935926974,8064,8064,0.12
r2a-ex03-67,8,w,,867.95,1159.43,837.69,280.09,280.94,276.66,270.94,0.06518792361021042,21.113972063176334,9072,9072,0.07
r2a-ex03-67,9,w,,904.49,1208.51,874.01,295.67,290.23,288.11,283.26,0.08214707486331463,21.10735105816275,10080,10080,0.1
r2a-ex03-67,10,w,,940.27,1254.3,908.8,304.21,302.29,302.3,293.6,0.029328977689146996,20.966376061551273,11088,11088,0.09
r2a-ex03-67,11,w,,964.75,1288.69,934.51,308.25,312.94,313.32,303.47,0.07614796049892902,21.515159052796662,12096,12096,0.09
r2a-ex03-67,12,w,,981.27,1305.05,952.01,328.73,312.65,310.63,302.94,0.13085594400763512,20.937656983733177,13104,12096,0.11
r2a-ex03-67,13,w,,976.19,1300.72,944.88,325.01,310.1,309.77,303.75,0.130105996504426,21.387433051131666,14112,12096,0.11
r2a-ex03-67,14,w,,975.05,1299.0,944.37,322.91,310.26,311.21,303.46,0.07514795288443565,21.46127203013748,15120,12096,0.08
r2a-ex03-67,15,w,,975.93,1300.28,945.21,321.97,309.99,313.25,303.93,0.1676849788054824,21.250716992653906,16128,12096,0.09
r2a-ex03-67,16,w,,971.55,1293.43,941.97,316.55,313.46,311.96,301.33,0.1908239210024476,21.132661029696465,17136,12096,0.16
r2a-ex03-67,17,w,,981.19,1304.86,950.95,328.11,311.5,311.34,303.21,0.18058496061712503,21.25709701795131,18144,12096,0.1
r2a-ex03-67,18,w,,980.5,1304.58,949.9,325.69,312.36,311.84,304.14,0.08649704977869987,21.117541007697582,19152,12096,0.1
r2a-ex03-67,19,w,,995.53,1320.72,964.39,330.71,318.39,315.29,304.57,0.0747280428186059,21.144760074093938,20160,12096,0.1
r2a-ex03-67,20,w,,981.4,1305.53,949.89,325.66,311.04,313.19,303.59,0.03351899795234203,21.30992489401251,21168,12096,0.14
r2a-ex03-67,21,w,,971.89,1296.86,942.89,319.16,313.36,310.37,304.22,0.030188937671482563,21.023634006269276,22176,12096,0.08
r2a-ex03-67,22,w,,988.3,1312.39,958.13,331.27,312.89,313.96,304.25,0.06882799789309502,20.967606105841696,23184,12096,0.09
r2a-ex03-67,23,w,,983.32,1311.03,954.41,328.63,313.12,312.66,307.38,0.15675497706979513,21.11647091805935,24192,12096,0.13
r2a-ex03-67,24,w,,1000.36,1331.5,969.22,335.38,316.47,317.36,310.8,0.13826589565724134,21.44529193174094,25200,12096,0.14
r2a-ex03-67,25,w,,980.4,1301.73,947.47,328.04,311.0,308.43,301.25,0.146026024594903,20.994944963604212,26208,12096,0.08
r2a-ex03-67,26,w,,978.84,1297.45,949.35,324.14,312.55,312.66,298.17,0.06579793989658356,20.831289933994412,27216,12096,0.08
r2a-ex03-67,27,w,,986.79,1311.46,956.09,331.2,314.64,310.25,305.08,0.09849702473729849,21.76182297989726,28224,12096,0.08
r2a-ex03-67,28,w,,977.36,1304.32,944.78,323.37,310.91,310.5,306.09,0.14755595475435257,21.032853983342648,29232,12096,0.08
r2a-ex03-67,29,w,,974.13,1298.9,946.08,325.66,310.06,310.36,304.48,0.029539107345044613,21.01279399357736,30240,12096,0.11
r2a-ex03-67,30,w,,985.23,1306.6,956.28,329.87,313.11,313.3,301.32,0.01724890898913145,21.505650016479194,31248,12096,0.1
r2a-ex03-67,31,w,,978.63,1305.6,948.88,320.55,315.18,313.14,306.89,0.12003607116639614,21.16102003492415,32256,12096,0.14
