Validator,PT_VERSION,2.13.0
Validator,HIP_VERSION,715
Validator,HIPBLASLT_VERSION,100401-baa93758
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.6.0.baa93758
GemmTunableOp_BFloat16_TN,tn_4096_512_4096_ld_4096_4096_4096,Gemm_Hipblaslt_1146,0.564999
GemmStridedBatchedTunableOp_BFloat16_TN,tn_512_512_64_B_64_ld_4096_4096_512,Gemm_Hipblaslt_985,0.79519
GemmStridedBatchedTunableOp_BFloat16_NN,nn_64_512_512_B_64_ld_4096_512_64,Gemm_Hipblaslt_768,0.483156
GemmTunableOp_BFloat16_TN,tn_10240_512_4096_ld_4096_4096_10240,Gemm_Hipblaslt_862,1.46778
GemmTunableOp_BFloat16_TN,tn_4096_512_10240_ld_10240_10240_4096,Gemm_Hipblaslt_1164,1.49569
GemmStridedBatchedTunableOp_float_TN,tn_258048_3_3_B_18_ld_3_4_258048,Gemm_Hipblaslt_2800,0.801653
GemmAndBiasTunableOp_float_TN,tn_1536_1008_256_ld_256_256_1536,Default,0.104341
GemmAndBiasTunableOp_float_TN,tn_1536_1008_1536_ld_1536_1536_1536,Default,0.625379
GemmAndBiasTunableOp_float_TN,tn_9216_1008_1536_ld_1536_1536_9216,Gemm_Hipblaslt_2875,3.80812
GemmAndBiasTunableOp_BFloat16_TN,tn_1536_512_4096_ld_4096_4096_1536,Gemm_Hipblaslt_867,0.16662
GemmAndBiasTunableOp_BFloat16_TN,tn_1536_512_1536_ld_1536_1536_1536,Gemm_Hipblaslt_849,0.069408
GemmAndBiasTunableOp_BFloat16_TN,tn_1536_1008_1536_ld_1536_1536_1536,Default,0.129419
GemmAndBiasTunableOp_BFloat16_TN,tn_8960_1008_1536_ld_1536_1536_8960,Gemm_Hipblaslt_1179,0.819742
GemmAndBiasTunableOp_BFloat16_TN,tn_1536_1008_8960_ld_8960_8960_1536,Gemm_Hipblaslt_860,0.703355
GemmAndBiasTunableOp_float_TN,tn_64_1008_1536_ld_1536_1536_64,Gemm_Hipblaslt_2924,0.0539968
GemmTunableOp_float_TN,tn_258048_3_3_ld_3_4_258048,Gemm_Hipblaslt_2800,0.0479238
